algorithm,data_type,n,run_id,time_sec,inspections
verificaAlgo,random,100,1,0.15970361,12250000
linearSearch,random,100,1,0.00000005,1
verificaAlgo,random,100,2,0.15298550,12250000
linearSearch,random,100,2,0.00000008,1
verificaAlgo,random,100,3,0.15333357,12250000
linearSearch,random,100,3,0.00000004,1
verificaAlgo,random,100,4,0.15379284,12250000
linearSearch,random,100,4,0.00000006,1
verificaAlgo,random,100,5,0.15344509,12250000
linearSearch,random,100,5,0.00000004,1
verificaAlgo,random,100,6,0.15367865,12250000
linearSearch,random,100,6,0.00000004,1
verificaAlgo,random,100,7,0.15397717,12250000
linearSearch,random,100,7,0.00000003,1
verificaAlgo,random,100,8,0.15421795,12250000
linearSearch,random,100,8,0.00000005,1
verificaAlgo,random,100,9,0.15384815,12250000
linearSearch,random,100,9,0.00000004,1
verificaAlgo,random,100,10,0.15396428,12250000
linearSearch,random,100,10,0.00000004,1
verificaAlgo,random,100,11,0.15389807,12250000
linearSearch,random,100,11,0.00000003,1
verificaAlgo,random,100,12,0.15421057,12250000
linearSearch,random,100,12,0.00000005,1
verificaAlgo,random,100,13,0.15397506,12250000
linearSearch,random,100,13,0.00000004,1
verificaAlgo,random,300,1,4.44311564,111750000
linearSearch,random,300,1,0.00000008,1
verificaAlgo,random,300,2,4.45674580,111750000
linearSearch,random,300,2,0.00000008,1
verificaAlgo,random,300,3,4.45826539,111750000
linearSearch,random,300,3,0.00000007,1
verificaAlgo,random,300,4,4.46549370,111750000
linearSearch,random,300,4,0.00000008,1
verificaAlgo,random,300,5,4.50112134,111750000
linearSearch,random,300,5,0.00000007,1
verificaAlgo,random,300,6,4.51604866,111750000
linearSearch,random,300,6,0.00000009,1
verificaAlgo,random,300,7,4.54195695,111750000
linearSearch,random,300,7,0.00000006,1
verificaAlgo,random,300,8,4.49663797,111750000
linearSearch,random,300,8,0.00000006,1
verificaAlgo,random,300,9,4.49716044,111750000
linearSearch,random,300,9,0.00000007,1
verificaAlgo,random,300,10,4.56908380,111750000
linearSearch,random,300,10,0.00000005,1
verificaAlgo,random,300,11,4.53098735,111750000
linearSearch,random,300,11,0.00000007,1
verificaAlgo,random,300,12,4.52872006,111750000
